full_date,Discharge_CFS
2010-04-23,1130
2010-04-23,1130
2010-04-23,1130
2010-04-23,1130
2010-04-23,1120
2010-04-23,1120
2010-04-23,1120
2010-04-23,1120
2010-04-23,1120
2010-04-23,1110
2010-04-23,1110
2010-04-23,1110
2010-04-23,1100
2010-04-23,1100
2010-04-23,1100
2010-04-23,1090
2010-04-23,1090
2010-04-23,1090
2010-04-23,1090
2010-04-23,1080
2010-04-23,1080
2010-04-23,1080
2010-04-23,1080
2010-04-23,1080
2010-04-23,1080
2010-04-23,1070
2010-04-23,1070
2010-04-23,1070
2010-04-23,1060
2010-04-23,1060
2010-04-24,1060
2010-04-24,1060
2010-04-24,1060
2010-04-24,1060
2010-04-24,1060
2010-04-24,1060
2010-04-24,1050
2010-04-24,1050
2010-04-24,1050
2010-04-24,1050
2010-04-24,1050
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1020
2010-04-24,1020
2010-04-24,1020
2010-04-24,1020
2010-04-24,1020
2010-04-24,1020
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1010
2010-04-24,1020
2010-04-24,1020
2010-04-24,1020
2010-04-24,1020
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1030
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
2010-04-24,1040
